"filename", "language", "C++", "YAML", "Groovy", "Properties", "Dart", "XML", "Markdown", "JSON", "HTML", "Swift", "comment", "blank", "total"
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/hostel_detail_2.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/hostel_detail_screen.dart", "Dart", 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 6, 253
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/intro_screen_1.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/intro_screen_2.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/intro_screen_3.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/login.dart", "Dart", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 6, 150
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/momo_bottomsheet.dart", "Dart", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 1, 6, 190
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/notifications.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 6, 110
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/processing_1.dart", "Dart", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 6, 118
"/Users/uxderrick/Development/Projects/hostel_hub/lib/Screens/welcome_screen_main.dart", "Dart", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 3, 6, 118
"/Users/uxderrick/Development/Projects/hostel_hub/lib/main.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"/Users/uxderrick/Development/Projects/hostel_hub/linux/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/uxderrick/Development/Projects/hostel_hub/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/uxderrick/Development/Projects/hostel_hub/linux/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/uxderrick/Development/Projects/hostel_hub/linux/my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/uxderrick/Development/Projects/hostel_hub/linux/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/uxderrick/Development/Projects/hostel_hub/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 4, 11
